datetime,open,high,low,close,volume
2024-05-01,12.60000,13.049999,12.60000,12.77550,7775
2024-05-02,12.75000,14.084999,12.75000,13.65000,9558
2024-05-03,13.65000,14.45550,13.34850,13.35000,9272
2024-05-06,13.20000,13.94400,13.070999,13.23900,23333
2024-05-07,13.13850,13.93500,13.051499,13.29900,17471
2024-05-08,13.49850,13.95000,12.75000,13.27050,16277
2024-05-09,13.65000,14.70000,13.20600,14.69250,15372
2024-05-10,14.85000,14.85000,13.28100,13.65000,6043
2024-05-13,14.37300,14.37300,13.20000,13.20150,16487
2024-05-14,14.70000,15.00000,12.77550,13.48650,31109
2024-05-15,13.52850,13.80000,12.76350,13.049999,20982
2024-05-16,13.22250,13.50000,12.080999,12.47400,31736
2024-05-17,12.16500,12.70650,11.70255,11.85000,32049
2024-05-20,12.15000,12.30000,9.90150,10.20000,44684
2024-05-21,10.20000,11.75550,10.20000,11.53500,23854
2024-05-22,11.70000,11.70000,10.73100,11.40000,12478
2024-05-23,11.17500,11.60400,10.80150,10.95000,3950
2024-05-24,10.95000,11.53500,10.78500,10.95000,6943
2024-05-28,10.54500,10.85850,9.86250,10.079999,15713
2024-05-29,10.20000,10.49400,9.79650,9.93450,13254
2024-05-30,10.082999,10.50000,10.012499,10.12200,6000
2024-05-31,10.20000,10.75050,9.93000,10.052999,5189
2024-06-03,10.92300,10.95000,9.78000,10.15650,7751
2024-06-04,9.60000,10.31850,9.15150,9.52200,15613
2024-06-05,9.75000,10.95000,9.52200,10.65000,21910
2024-06-06,10.65000,11.22900,10.35150,10.50000,21450
2024-06-07,10.65000,11.26500,9.90000,10.057499,17611
2024-06-10,10.50000,10.50150,9.49500,9.79500,11018
2024-06-11,9.50100,10.33500,9.45000,9.90600,12454
2024-06-12,10.50000,10.63200,9.75000,9.80550,14611
2024-06-13,9.75000,10.14900,8.76600,9.0044994,18505
2024-06-14,9.00000,9.45000,9.00000,9.15150,7201
2024-06-17,9.60900,9.75000,7.95000,8.55000,39552
2024-06-18,8.40000,8.97300,7.69500,7.81650,27522
2024-06-20,9.00000,9.0014992,8.40000,8.65200,17701
2024-06-21,8.82000,8.87550,8.40150,8.87550,6869
2024-06-24,8.61150,8.98500,8.40000,8.62050,6840
2024-06-25,9.00000,9.091499,8.25000,8.35800,6145
2024-06-26,8.40000,8.97600,8.38800,8.38800,9478
2024-06-27,8.40000,9.15000,8.17500,9.14700,16428
2024-06-28,9.18000,9.43800,8.099999,8.099999,24616
2024-07-01,8.40000,8.55525,8.13000,8.13000,11545
2024-07-02,8.13000,8.53800,8.13000,8.25000,8675
2024-07-03,8.13000,8.35650,8.13000,8.31600,2481
2024-07-05,8.25000,8.25000,7.92300,8.14200,8223
2024-07-08,7.50000,8.31150,7.50000,8.19000,22714
2024-07-09,7.94400,8.37900,7.50450,7.66650,34137
2024-07-10,7.80000,8.38200,7.54950,7.75800,17296
2024-07-11,7.53450,8.31000,7.50000,8.31000,26640
2024-07-12,8.40000,8.40000,7.69500,8.19150,10163
2024-07-15,8.55000,8.70000,7.95600,7.99500,12898
2024-07-16,7.95000,8.85000,7.88595,8.72400,12867
2024-07-17,8.70000,8.96400,8.086499,8.44050,24238
2024-07-18,8.63100,9.00000,7.96500,8.10150,7435
2024-07-19,8.67300,8.94285,7.85700,8.18400,7491
2024-07-22,9.15000,9.15000,8.060999,8.21850,22497
2024-07-23,8.36100,8.43150,7.81500,8.33850,14469
2024-07-24,8.099999,9.13950,7.96050,8.47350,27075
2024-07-25,8.61150,21.60000,8.40000,15.75000,3976962
2024-07-26,15.60000,19.35000,13.66650,18.00000,294411
2024-07-29,17.85000,20.55000,13.53000,14.61000,265955
2024-07-30,13.80150,14.25000,13.20000,13.46550,45055
2024-07-31,13.65000,14.054999,12.67500,13.19400,32438
2024-08-01,12.79800,13.20000,12.38400,12.75000,18559
2024-08-02,12.55050,12.69000,11.52900,12.39150,26337
2024-08-05,11.17950,18.45000,11.11590,17.25000,214236
2024-08-06,16.35000,20.55000,16.20000,17.25000,199267
2024-08-07,13.72500,15.16500,12.75000,12.91350,66227
2024-08-08,13.35000,14.34600,12.75000,12.82350,15783
2024-08-09,12.90000,13.49850,12.083999,12.42900,12321
2024-08-12,12.45000,13.11450,11.76900,11.76900,19690
2024-08-13,11.85150,12.75000,11.70150,12.42450,16062
2024-08-14,12.82500,12.89850,12.30300,12.30450,15726
2024-08-15,11.55000,12.66000,11.55000,12.088499,12831
2024-08-16,12.19500,12.30000,11.85000,11.95800,11690
2024-08-19,11.73300,14.25000,11.73300,13.35750,30418
2024-08-20,14.20500,14.25000,13.35150,13.97250,15202
2024-08-21,14.066999,15.90000,13.61820,14.45250,69659
2024-08-22,14.55000,15.15000,12.82800,14.40000,50969
2024-08-23,14.40000,15.60000,14.10150,14.80350,13512
2024-08-26,15.15000,19.35000,14.55000,16.80000,126983
2024-08-27,16.65000,16.88550,15.00000,15.60000,24863
2024-08-28,15.45000,15.45000,14.55000,14.55300,25275
2024-08-29,13.50450,13.80000,11.55000,12.056999,44994
2024-08-30,12.00000,12.33750,11.70825,12.20400,12040
2024-09-03,12.45000,15.074999,9.75000,13.47600,200365
2024-09-04,12.75,13.40000,11.36000,11.42000,86601
2024-09-05,11.76000,11.76000,11.13000,11.39000,25694
2024-09-06,11.40000,11.53000,10.47000,10.69000,11102
2024-09-09,10.55000,10.68000,10.030000,10.37000,10274
2024-09-10,10.45000,10.45000,9.010000,9.92000,31195
2024-09-11,9.92000,10.35500,9.80000,10.27000,8431
2024-09-12,10.25,10.57990,9.85550,10.14000,15169
2024-09-13,10.11000,10.49000,9.90000,10.030000,11889
2024-09-16,10.11000,13.97000,9.5,12.48000,188999
2024-09-17,12.5,13.89000,11.70000,13.73000,57324
2024-09-18,13.55000,14.83680,13.23730,14.18000,75468
2024-09-19,14.60000,15.60000,14.083200,14.80000,58716
2024-09-20,14.62000,15.54000,11.64500,12.22000,84093
2024-09-23,12.41000,12.41000,11.87010,11.99000,46184
2024-09-24,12.13000,12.36000,11.71000,11.86000,14438
2024-09-25,11.73000,11.73000,9.53000,9.80000,84764
2024-09-26,10,10.20000,9.23010,9.64000,44025
2024-09-27,9.75,9.98990,9.29000,9.34000,44935
2024-09-30,9.45000,9.5,8.87000,9.26000,93250
2024-10-01,9.090000,9.35000,8.89500,9.070000,7278
2024-10-02,9.31000,9.33000,8.80000,8.93000,73092
2024-10-03,8.82000,8.92500,7.65721,7.87000,63634
2024-10-04,8.020000,8.020000,7.57000,7.68960,13805
2024-10-07,8,10.77000,7.55000,10.17000,269806
2024-10-08,10.080000,10.43000,8.61000,9.23000,53778
2024-10-09,9.15000,10.94000,9.15000,10.87000,87525
2024-10-10,10.69000,10.73000,9.69520,10.17000,47913
2024-10-11,10.44000,18.18500,10.44000,17.18000,457333
2024-10-14,16.92000,18.63840,13.16500,13.36000,177576
2024-10-15,13.56000,13.56000,10.44000,10.70000,139803
2024-10-16,13.76000,13.85500,11.82000,12,359374
2024-10-17,12.18000,12.27990,11.39000,11.80000,78694
2024-10-18,11.42000,12.83500,11.42000,12,127303
2024-10-21,11.79000,12.27000,11.31000,12.070000,78674
2024-10-22,12.15000,12.49000,11.80000,12,103852
2024-10-23,12,12.41410,10.86500,11.13000,114045
2024-10-24,10.78000,11.19000,9.53000,10.25,152373
2024-10-25,10.10000,10.80000,9.37000,9.57000,89248
2024-10-28,9.39000,10.23000,9.15000,9.58000,114883
2024-10-29,9.97000,9.97000,8.30000,8.39000,171658
2024-10-30,8.030000,8.030000,4.80320,5.24000,1106299
2024-10-31,5.39000,5.5,3.5,4.64000,1265043
2024-11-01,4.71000,4.89000,4.22000,4.5,295976
2024-11-04,4.56000,4.98000,4.36000,4.64000,199650
2024-11-05,4.52000,5.100000,4.32000,4.86000,103578
2024-11-06,4.75,4.86000,4.30100,4.49000,111279
2024-11-07,4.43000,4.74410,4.23000,4.54000,91286
2024-11-08,4.47000,4.61460,4.33000,4.36000,40176
2024-11-11,4.41000,4.71000,4.36000,4.51000,91341
2024-11-12,4.5,5,4.47000,4.73000,118293
2024-11-13,5,5.5,4.73000,5.44000,276046
2024-11-14,5.41000,5.66000,5.15000,5.17000,114265
2024-11-15,5.29000,5.35000,4.36000,4.39000,144106
2024-11-18,4.5,4.5,4.100000,4.13000,129022
2024-11-19,4.11000,4.37000,4,4.29000,74334
2024-11-20,4.23000,4.48000,4.050000,4.31000,122478
2024-11-21,3.90000,4.34000,3.68500,3.88000,161951
2024-11-22,3.86000,4.19880,3.73000,3.97000,83019
2024-11-25,4.12000,4.22000,3.71000,3.81000,81625
2024-11-26,3.84000,3.84000,3.48070,3.61000,69262
2024-11-27,3.68000,3.68000,3.32000,3.44000,102701
2024-11-29,3.46920,3.5,3.18000,3.5,88711
